iter	Passed	Remaining
0	147	147128
1	160	80208
2	176	58610
3	191	47709
4	210	41877
5	225	37387
6	240	34151
7	255	31693
8	270	29736
9	285	28257
10	300	27036
11	315	25995
12	330	25093
13	344	24232
14	359	23639
15	374	23028
16	389	22550
17	406	22200
18	421	21759
19	435	21333
20	448	20928
21	462	20577
22	476	20240
23	489	19919
24	503	19633
25	516	19357
26	530	19105
27	544	18892
28	557	18673
29	573	18533
30	587	18352
31	601	18191
32	616	18058
33	630	17914
34	644	17775
35	659	17659
36	673	17537
37	689	17449
38	702	17310
39	718	17239
40	733	17160
41	747	17042
42	762	16971
43	776	16877
44	792	16825
45	810	16817
46	829	16822
47	853	16925
48	871	16906
49	888	16884
50	906	16866
51	922	16816
52	936	16735
53	951	16663
54	964	16569
55	977	16471
56	990	16388
57	1003	16303
58	1017	16221
59	1030	16148
60	1044	16072
61	1060	16050
62	1075	15997
63	1090	15948
64	1106	15923
65	1121	15877
66	1138	15848
67	1152	15790
68	1166	15738
69	1182	15707
70	1196	15651
71	1209	15591
72	1223	15533
73	1236	15473
74	1250	15421
75	1263	15366
76	1277	15314
77	1290	15253
78	1303	15196
79	1317	15146
80	1330	15099
81	1344	15046
82	1357	15001
83	1371	14955
84	1384	14906
85	1400	14880
86	1414	14839
87	1426	14786
88	1440	14747
89	1453	14700
90	1467	14657
91	1480	14608
92	1493	14564
93	1508	14541
94	1523	14509
95	1536	14470
96	1551	14442
97	1566	14421
98	1581	14388
99	1595	14359
100	1608	14319
101	1622	14288
102	1638	14266
103	1652	14238
104	1666	14207
105	1680	14176
106	1695	14148
107	1710	14127
108	1723	14089
109	1736	14051
110	1751	14024
111	1768	14020
112	1782	13993
113	1796	13961
114	1810	13936
115	1825	13908
116	1839	13879
117	1854	13860
118	1868	13834
119	1882	13806
120	1900	13802
121	1915	13785
122	1933	13786
123	1952	13791
124	1965	13756
125	1977	13719
126	1990	13685
127	2009	13687
128	2023	13662
129	2036	13627
130	2050	13599
131	2062	13563
132	2075	13532
133	2090	13508
134	2104	13486
135	2119	13464
136	2133	13436
137	2147	13414
138	2162	13393
139	2180	13391
140	2194	13368
141	2207	13335
142	2221	13310
143	2235	13289
144	2249	13264
145	2263	13241
146	2278	13224
147	2291	13193
148	2304	13162
149	2318	13135
150	2331	13108
151	2345	13083
152	2359	13061
153	2371	13030
154	2385	13004
155	2399	12979
156	2412	12954
157	2427	12936
158	2441	12916
159	2455	12890
160	2468	12861
161	2481	12837
162	2494	12809
163	2508	12785
164	2521	12761
165	2534	12734
166	2548	12709
167	2562	12688
168	2574	12661
169	2590	12647
170	2603	12622
171	2617	12602
172	2631	12578
173	2644	12554
174	2657	12530
175	2671	12506
176	2685	12488
177	2699	12465
178	2712	12440
179	2726	12419
180	2739	12396
181	2753	12375
182	2767	12353
183	2780	12330
184	2793	12307
185	2807	12284
186	2819	12257
187	2832	12233
188	2846	12213
189	2859	12188
190	2872	12165
191	2884	12139
192	2897	12114
193	2911	12094
194	2923	12069
195	2937	12048
196	2950	12026
197	2964	12006
198	2977	11984
199	2990	11961
200	3003	11938
201	3017	11919
202	3030	11899
203	3044	11880
204	3057	11857
205	3070	11833
206	3083	11813
207	3098	11799
208	3112	11778
209	3125	11757
210	3138	11736
211	3152	11719
212	3166	11699
213	3179	11678
214	3193	11660
215	3206	11639
216	3220	11618
217	3233	11600
218	3247	11582
219	3261	11564
220	3275	11546
221	3289	11526
222	3303	11510
223	3316	11490
224	3329	11469
225	3343	11450
226	3357	11433
227	3371	11414
228	3383	11393
229	3398	11375
230	3411	11355
231	3425	11338
232	3442	11333
233	3458	11322
234	3472	11304
235	3485	11283
236	3499	11267
237	3513	11250
238	3526	11228
239	3540	11212
240	3554	11193
241	3569	11181
242	3585	11170
243	3602	11161
244	3619	11154
245	3636	11145
246	3652	11135
247	3671	11134
248	3686	11118
249	3699	11099
250	3713	11081
251	3727	11065
252	3743	11052
253	3760	11045
254	3774	11028
255	3789	11013
256	3803	10996
257	3818	10980
258	3832	10965
259	3846	10949
260	3860	10930
261	3874	10913
262	3888	10896
263	3901	10876
264	3915	10859
265	3928	10840
266	3942	10823
267	3955	10802
268	3968	10784
269	3982	10768
270	3996	10750
271	4010	10733
272	4023	10715
273	4038	10700
274	4052	10683
275	4068	10672
276	4083	10659
277	4100	10648
278	4114	10633
279	4129	10617
280	4143	10601
281	4156	10583
282	4172	10570
283	4186	10555
284	4201	10539
285	4215	10522
286	4228	10504
287	4241	10486
288	4254	10467
289	4268	10449
290	4281	10432
291	4295	10415
292	4309	10397
293	4322	10380
294	4336	10362
295	4349	10345
296	4365	10332
297	4379	10316
