iter	Passed	Remaining
0	167	167635
1	181	90563
2	191	63533
3	206	51512
4	221	44055
5	232	38535
6	244	34630
7	254	31525
8	265	29268
9	275	27265
10	287	25850
11	298	24602
12	313	23771
13	326	22980
14	336	22079
15	346	21292
16	363	21036
17	378	20668
18	388	20062
19	398	19513
20	407	19018
21	417	18570
22	426	18112
23	436	17745
24	445	17377
25	462	17309
26	471	17001
27	496	17232
28	506	16958
29	515	16665
30	525	16423
31	534	16161
32	544	15947
33	554	15753
34	565	15600
35	575	15420
36	601	15666
37	612	15502
38	623	15354
39	632	15188
40	643	15051
41	654	14923
42	663	14767
43	675	14677
44	686	14573
45	696	14446
46	707	14338
47	717	14222
48	729	14149
49	738	14034
50	755	14064
51	778	14190
52	787	14075
53	797	13971
54	806	13863
55	816	13761
56	825	13658
57	835	13568
58	860	13726
59	876	13734
60	889	13696
61	902	13655
62	916	13635
63	929	13591
64	951	13693
65	969	13722
66	982	13687
67	994	13625
68	1004	13548
69	1013	13468
70	1023	13386
71	1033	13315
72	1042	13242
73	1052	13174
74	1062	13109
75	1088	13229
76	1101	13204
77	1118	13219
78	1128	13156
79	1138	13089
80	1151	13058
81	1162	13017
82	1172	12957
83	1182	12897
84	1192	12837
85	1202	12775
86	1211	12715
87	1221	12654
88	1237	12663
89	1254	12682
90	1265	12641
91	1275	12591
92	1286	12548
93	1298	12513
94	1308	12468
95	1320	12432
96	1331	12395
97	1342	12356
98	1353	12316
99	1364	12284
100	1375	12244
101	1386	12203
102	1409	12273
103	1420	12238
104	1440	12279
105	1452	12246
106	1464	12219
107	1475	12185
108	1486	12152
109	1501	12152
110	1519	12166
111	1530	12138
112	1541	12101
113	1552	12063
114	1563	12033
115	1581	12055
116	1595	12042
117	1605	12002
118	1616	11969
119	1628	11938
120	1638	11905
121	1649	11869
122	1660	11837
123	1670	11801
124	1681	11770
125	1692	11740
126	1718	11816
127	1729	11783
128	1750	11819
129	1760	11779
130	1769	11738
131	1779	11698
132	1789	11664
133	1799	11626
134	1808	11590
135	1818	11550
136	1827	11512
137	1835	11468
138	1845	11429
139	1856	11406
140	1866	11370
141	1876	11337
142	1886	11307
143	1898	11283
144	1909	11257
145	1919	11229
146	1930	11202
147	1941	11178
148	1952	11153
149	1964	11129
150	1975	11105
151	1988	11091
152	1998	11060
153	2009	11038
154	2019	11007
155	2028	10975
156	2039	10951
157	2054	10950
158	2069	10947
159	2079	10919
160	2090	10891
161	2099	10860
162	2114	10858
163	2144	10933
164	2155	10909
165	2165	10879
166	2175	10851
167	2184	10820
168	2194	10791
169	2205	10765
170	2217	10748
171	2226	10717
172	2238	10698
173	2249	10676
174	2259	10651
175	2269	10624
176	2287	10635
177	2297	10611
178	2320	10645
179	2333	10630
180	2344	10607
181	2354	10582
182	2380	10629
183	2392	10608
184	2415	10640
185	2428	10627
186	2438	10601
187	2457	10613
188	2466	10582
189	2491	10621
190	2502	10601
191	2512	10572
192	2521	10544
193	2529	10510
194	2548	10522
195	2564	10518
196	2574	10495
197	2584	10468
198	2606	10490
199	2617	10469
200	2627	10443
201	2636	10417
202	2647	10393
203	2657	10370
204	2667	10345
205	2677	10318
206	2701	10349
207	2710	10321
208	2734	10347
209	2745	10328
210	2755	10302
211	2764	10276
212	2787	10300
213	2798	10276
214	2807	10251
215	2830	10274
216	2843	10260
217	2853	10237
218	2863	10210
219	2873	10187
220	2882	10160
221	2892	10135
222	2902	10111
223	2911	10085
224	2920	10060
225	2933	10048
226	2943	10023
227	2953	10000
228	2963	9976
229	2973	9956
230	2982	9930
231	2992	9906
232	3002	9882
233	3012	9860
234	3021	9836
235	3035	9825
236	3050	9819
237	3063	9809
238	3073	9785
239	3096	9805
240	3108	9788
241	3125	9788
242	3135	9767
243	3144	9744
244	3154	9721
245	3163	9697
246	3173	9674
247	3183	9652
248	3192	9630
249	3203	9609
250	3212	9587
251	3222	9565
252	3248	9592
253	3263	9583
254	3278	9578
255	3288	9555
256	3297	9534
257	3308	9515
258	3318	9493
259	3328	9473
260	3338	9451
261	3348	9431
262	3366	9433
263	3375	9411
264	3385	9389
265	3395	9369
266	3410	9361
267	3424	9352
268	3434	9332
269	3443	9309
270	3453	9289
271	3463	9271
272	3484	9278
273	3494	9257
274	3513	9262
275	3523	9242
276	3532	9219
277	3542	9199
278	3552	9180
279	3561	9159
280	3572	9140
281	3586	9132
282	3602	9126
283	3612	9106
284	3620	9083
285	3630	9062
286	3639	9042
287	3650	9025
288	3662	9011
289	3674	8997
290	3684	8976
291	3694	8958
292	3707	8946
293	3717	8927
294	3728	8909
295	3737	8890
296	3749	8874
297	3761	8862
298	3801	8911
299	3813	8897
300	3823	8879
301	3846	8891
302	3858	8875
303	3868	8856
304	3877	8835
305	3890	8824
306	3900	8804
307	3910	8785
308	3919	8765
309	3929	8747
310	3939	8728
311	3950	8710
312	3960	8692
313	3970	8674
314	3980	8655
315	3989	8636
316	3998	8614
317	4007	8595
318	4017	8576
319	4027	8558
320	4038	8541
321	4047	8522
322	4056	8503
323	4078	8509
324	4087	8490
325	4097	8471
326	4107	8454
327	4122	8446
328	4132	8429
329	4141	8408
330	4151	8391
331	4161	8373
332	4197	8406
333	4208	8391
334	4219	8376
335	4228	8357
336	4239	8339
337	4255	8334
338	4265	8317
339	4275	8298
340	4285	8281
341	4299	8271
342	4309	8254
343	4318	8236
344	4328	8218
345	4338	8201
346	4357	8200
347	4367	8182
348	4376	8164
349	4387	8147
350	4396	8129
351	4415	8127
352	4425	8110
353	4434	8092
354	4444	8074
355	4454	8057
356	4463	8039
357	4473	8021
358	4484	8007
359	4496	7994
360	4510	7983
361	4521	7968
362	4534	7956
363	4544	7940
364	4553	7922
365	4563	7905
366	4572	7887
367	4582	7869
368	4591	7851
369	4601	7834
370	4611	7817
371	4620	7800
372	4654	7824
373	4666	7810
374	4675	7793
375	4685	7776
376	4696	7761
377	4706	7744
378	4715	7727
379	4726	7711
380	4746	7711
381	4755	7694
382	4765	7676
383	4774	7659
384	4784	7642
385	4793	7625
386	4803	7608
387	4813	7592
388	4823	7576
389	4840	7570
390	4849	7552
391	4865	7546
392	4875	7529
393	4884	7513
394	4894	7496
395	4919	7502
396	4930	7489
397	4941	7473
398	4950	7456
399	4961	7442
400	4971	7426
401	4996	7432
402	5008	7419
403	5026	7414
404	5035	7398
405	5045	7382
406	5057	7369
407	5070	7356
408	5080	7340
409	5090	7325
410	5100	7309
411	5110	7293
412	5119	7276
413	5129	7260
414	5138	7243
415	5155	7237
416	5164	7220
417	5174	7204
418	5184	7189
419	5193	7172
420	5216	7174
421	5236	7171
422	5246	7156
423	5256	7140
424	5266	7124
425	5274	7107
426	5295	7106
427	5315	7104
428	5327	7091
429	5336	7074
430	5360	7076
431	5370	7060
432	5393	7062
433	5413	7059
434	5424	7045
435	5433	7028
436	5442	7011
437	5452	6995
438	5463	6981
439	5476	6970
440	5486	6954
441	5496	6939
442	5506	6923
443	5515	6906
444	5524	6890
445	5536	6876
446	5546	6861
447	5564	6855
448	5573	6839
449	5583	6824
450	5610	6829
451	5619	6813
452	5629	6798
453	5639	6781
454	5648	6765
455	5658	6749
456	5667	6734
457	5677	6718
458	5686	6702
459	5696	6686
460	5707	6673
461	5720	6661
462	5733	6650
463	5754	6646
464	5764	6632
465	5775	6618
466	5785	6602
467	5796	6589
468	5816	6585
469	5831	6576
470	5842	6561
471	5851	6546
472	5861	6530
473	5871	6515
474	5880	6499
475	5890	6484
476	5910	6480
477	5920	6465
478	5929	6449
479	5938	6433
480	5947	6417
481	5965	6410
482	5974	6395
483	5984	6380
484	5994	6365
485	6022	6369
486	6033	6355
487	6042	6339
488	6051	6324
489	6062	6310
490	6083	6306
491	6094	6292
492	6104	6277
493	6130	6279
494	6146	6270
495	6157	6256
496	6166	6241
497	6176	6226
498	6186	6211
499	6195	6195
500	6205	6180
501	6214	6164
502	6224	6150
503	6237	6138
504	6246	6123
505	6256	6108
506	6265	6092
507	6274	6077
508	6284	6062
509	6293	6046
510	6310	6039
511	6320	6024
512	6331	6010
513	6346	6001
514	6357	5987
515	6368	5973
516	6377	5958
517	6392	5948
